(0,0)
(0.397734,0.153764)
(-0.736657,0.29143)
(1.09566,-0.104369)
(-1.41864,-0.0222951)
(1.38221,-1.12074)
(-2.02264,-0.57651)
(1.30451,-1.83636)
(-2.12132,-0.292891)
(1.39073,-1.20694)
(-1.26375,1.0926)
(1.89411,0.385682)
(0.162944,2.36039)
(2.12944,1.37302)
(0.881179,2.00631)
(1.06459,0.7441)
(0,0)
(-1.21117,-0.7441)
(-1.67934,-2.00631)
(-2.96244,-1.37302)
(-2.11836,-2.36039)
(-2.30641,-0.385682)
(-0.196353,-1.0926)
(0.59029,1.20694)
(2.7071,0.292891)
(3.17071,1.83636)
(3.74826,0.57651)
(2.81131,1.12074)
(1.5263,0.0222951)
(-0.407542,0.104369)
(-2.19358,-0.29143)
(-3.52013,-0.153764)
(2,0)
(1.95893,0)
(0.72846,0)
(0.7516,0)
(-1.47247,0)
(-0.71455,0)
(-2.88545,0)
(-0.9331,0)
(-2.41421,0)
(0.40022,0)
(-0.5337,0)
(2.10026,0)
(1.14065,0)
(2.54594,0)
(1.28026,0)
(1.13788,0)
(0,0)
(-1.13788,0)
(-1.28026,0)
(-2.54594,0)
(-1.14065,0)
(-2.10026,0)
(0.5337,0)
(-0.40022,0)
(2.41421,0)
(0.9331,0)
(2.88545,0)
(0.71455,0)
(1.47247,0)
(-0.7516,0)
(-0.72846,0)
(-1.95893,0)
